"COTS Surveillance Id","Tow time","Vessel","Voyage","Reef label","Reef name","Start lat","Start long","End lat","End long","Distance (m)","Average speed (km/h)","COTS observed","Feeding scars","Hard coral","Soft coral","Dead coral","Created on","Created by","Updated on","Updated by"
104440,02/07/2022,"QPWS Reef Ranger","FMPCR22-04","15-017a","U/N Reef (15-017a)",-15.0349458,145.6992889,-15.0364084,145.6995339,176.8,5.36,0,"p","2+","1-","1-",18/07/2022,"DATA_MIGRATION",,
103017,02/07/2022,"QPWS Reef Ranger","FMPCR22-04","15-017a","U/N Reef (15-017a)",-15.0365657,145.6994898,-15.0378126,145.7002179,186.9,5.62,0,"a","2+","1-","1-",07/07/2022,"TAYLORS",,
104379,02/07/2022,"QPWS Reef Ranger","FMPCR22-04","15-017a","U/N Reef (15-017a)",-15.0378804,145.70033999999998,-15.038905,145.7012295,184,5.58,0,"a","2-","1-","1-",18/07/2022,"DATA_MIGRATION",,
104476,02/07/2022,"QPWS Reef Ranger","FMPCR22-04","15-017b","U/N Reef (15-017b)",-15.0390309,145.7011264,-15.0396518,145.6996184,189.1,5.72,0,"a","2-","1-","1-",18/07/2022,"DATA_MIGRATION",,
104380,02/07/2022,"QPWS Reef Ranger","FMPCR22-04","15-021a","Ribbon No 8 Reef (15-021a)",-15.0357248,145.7119178,-15.0381761,145.711572,338.8,6.48,0,"a","2+","1-","0",18/07/2022,"DATA_MIGRATION",,
104477,02/07/2022,"QPWS Reef Ranger","FMPCR22-04","15-021a","Ribbon No 8 Reef (15-021a)",-15.0382725,145.7115154,-15.0399865,145.7116135,203.3,6.16,0,"a","2+","1-","0",18/07/2022,"DATA_MIGRATION",,
104455,02/07/2022,"QPWS Reef Ranger","FMPCR22-04","15-021a","Ribbon No 8 Reef (15-021a)",-15.0400866,145.7115939,-15.0418247,145.7113547,204.1,6.19,0,"a","2+","1-","0",18/07/2022,"DATA_MIGRATION",,
104478,02/07/2022,"QPWS Reef Ranger","FMPCR22-04","15-021a","Ribbon No 8 Reef (15-021a)",-15.041943,145.7113336,-15.0434168,145.7116259,186.2,5.65,0,"a","2+","1-","0",18/07/2022,"DATA_MIGRATION",,
104381,02/07/2022,"QPWS Reef Ranger","FMPCR22-04","15-021a","Ribbon No 8 Reef (15-021a)",-15.0435313,145.7117496,-15.0451002,145.7123505,197.9,5.98,0,"a","2-","1-","0",18/07/2022,"DATA_MIGRATION",,
104382,02/07/2022,"QPWS Reef Ranger","FMPCR22-04","15-021a","Ribbon No 8 Reef (15-021a)",-15.045238,145.7123139,-15.0463927,145.7131076,197.8,5.98,0,"a","2-","1-","0",18/07/2022,"DATA_MIGRATION",,
104479,02/07/2022,"QPWS Reef Ranger","FMPCR22-04","15-021a","Ribbon No 8 Reef (15-021a)",-15.0464721,145.7131411,-15.0477111,145.713862,182.5,5.51,0,"a","2-","1-","0",18/07/2022,"DATA_MIGRATION",,
104383,02/07/2022,"QPWS Reef Ranger","FMPCR22-04","15-021a","Ribbon No 8 Reef (15-021a)",-15.0478214,145.7138454,-15.0484918,145.7149989,161.4,4.86,0,"a","2+","1-","0",18/07/2022,"DATA_MIGRATION",,
104589,02/07/2022,"QPWS Reef Ranger","FMPCR22-04","15-021a","Ribbon No 8 Reef (15-021a)",-15.0486534,145.7150573,-15.0500613,145.7151997,198.2,5.98,0,"a","1-","1-","0",18/07/2022,"DATA_MIGRATION",,
103018,02/07/2022,"QPWS Reef Ranger","FMPCR22-04","15-021a","Ribbon No 8 Reef (15-021a)",-15.050144,145.7152014,-15.0506927,145.7166875,188.7,5.69,0,"a","2-","1-","0",07/07/2022,"TAYLORS",,
103019,02/07/2022,"QPWS Reef Ranger","FMPCR22-04","15-021a","Ribbon No 8 Reef (15-021a)",-15.0507821,145.7167572,-15.0513468,145.7175583,154.5,4.68,0,"a","1-","1-","0",07/07/2022,"TAYLORS",,
103020,02/07/2022,"QPWS Reef Ranger","FMPCR22-04","15-021a","Ribbon No 8 Reef (15-021a)",-15.0514319,145.717758,-15.0519171,145.7186036,172,5.22,0,"a","2-","1-","0",07/07/2022,"TAYLORS",,
104582,02/07/2022,"QPWS Reef Ranger","FMPCR22-04","15-021a","Ribbon No 8 Reef (15-021a)",-15.0519748,145.7187247,-15.0533279,145.7191596,188.7,5.69,0,"a","2-","1-","0",18/07/2022,"DATA_MIGRATION",,
103021,02/07/2022,"QPWS Reef Ranger","FMPCR22-04","15-021a","Ribbon No 8 Reef (15-021a)",-15.053303,145.7193011,-15.0538438,145.7199175,171.5,5.18,0,"a","2-","1-","0",07/07/2022,"TAYLORS",,
103022,02/07/2022,"QPWS Reef Ranger","FMPCR22-04","15-021a","Ribbon No 8 Reef (15-021a)",-15.053592,145.7199345,-15.0524186,145.7201092,196.7,5.94,0,"a","2-","1-","0",07/07/2022,"TAYLORS",,
104456,02/07/2022,"QPWS Reef Ranger","FMPCR22-04","15-021a","Ribbon No 8 Reef (15-021a)",-15.0525933,145.720099,-15.0533118,145.7205546,171.9,5.22,0,"a","2-","1-","0",18/07/2022,"DATA_MIGRATION",,
103023,02/07/2022,"QPWS Reef Ranger","FMPCR22-04","15-021a","Ribbon No 8 Reef (15-021a)",-15.0534072,145.7206918,-15.0543021,145.7213432,187.6,5.72,0,"a","2-","1-","0",07/07/2022,"TAYLORS",,
104480,02/07/2022,"QPWS Reef Ranger","FMPCR22-04","15-021a","Ribbon No 8 Reef (15-021a)",-15.0544554,145.7214498,-15.0550639,145.7223201,181,5.44,0,"a","1+","1-","0",18/07/2022,"DATA_MIGRATION",,
104384,02/07/2022,"QPWS Reef Ranger","FMPCR22-04","15-021a","Ribbon No 8 Reef (15-021a)",-15.0551849,145.7223966,-15.0558799,145.7224708,181.9,5.51,0,"a","1-","1-","0",18/07/2022,"DATA_MIGRATION",,
104385,02/07/2022,"QPWS Reef Ranger","FMPCR22-04","15-021a","Ribbon No 8 Reef (15-021a)",-15.0557625,145.7228129,-15.0571099,145.7227182,214.5,6.48,0,"a","1+","1-","0",18/07/2022,"DATA_MIGRATION",,
104481,02/07/2022,"QPWS Reef Ranger","FMPCR22-04","15-021a","Ribbon No 8 Reef (15-021a)",-15.0565914,145.7225211,-15.058017999999999,145.7225134,172.9,5.29,0,"a","1+","0","0",18/07/2022,"DATA_MIGRATION",,
104386,02/07/2022,"QPWS Reef Ranger","FMPCR22-04","15-021a","Ribbon No 8 Reef (15-021a)",-15.0581159,145.7223946,-15.058731,145.7236127,192.8,5.83,0,"a","3-","0","0",18/07/2022,"DATA_MIGRATION",,
104482,02/07/2022,"QPWS Reef Ranger","FMPCR22-04","15-021a","Ribbon No 8 Reef (15-021a)",-15.058853,145.7235801,-15.0599928,145.7237949,143.4,4.32,0,"a","1+","0","0",18/07/2022,"DATA_MIGRATION",,
104457,02/07/2022,"QPWS Reef Ranger","FMPCR22-04","15-021a","Ribbon No 8 Reef (15-021a)",-15.0600927,145.7238554,-15.0611492,145.7240556,161.8,4.9,0,"a","1+","0","0",18/07/2022,"DATA_MIGRATION",,
104387,02/07/2022,"QPWS Reef Ranger","FMPCR22-04","15-021a","Ribbon No 8 Reef (15-021a)",-15.0612721,145.724139,-15.0621259,145.7251188,166,5,0,"a","1+","1+","0",18/07/2022,"DATA_MIGRATION",,
104483,02/07/2022,"QPWS Reef Ranger","FMPCR22-04","15-021a","Ribbon No 8 Reef (15-021a)",-15.0620506,145.7253252,-15.0628674,145.725974,152.2,4.61,0,"a","1+","0","0",18/07/2022,"DATA_MIGRATION",,
104388,02/07/2022,"QPWS Reef Ranger","FMPCR22-04","15-021a","Ribbon No 8 Reef (15-021a)",-15.0629449,145.7256658,-15.0636795,145.7260797,145.7,4.39,0,"a","1+","1+","0",18/07/2022,"DATA_MIGRATION",,
104441,02/07/2022,"QPWS Reef Ranger","FMPCR22-04","15-021a","Ribbon No 8 Reef (15-021a)",-15.0638008,145.7259699,-15.0650798,145.7256917,165.6,5,0,"a","1+","1+","0",18/07/2022,"DATA_MIGRATION",,
104484,02/07/2022,"QPWS Reef Ranger","FMPCR22-04","15-021a","Ribbon No 8 Reef (15-021a)",-15.0652431,145.7255901,-15.066016,145.7266558,161.1,4.86,0,"a","1+","0","0",18/07/2022,"DATA_MIGRATION",,
104389,02/07/2022,"QPWS Reef Ranger","FMPCR22-04","15-021a","Ribbon No 8 Reef (15-021a)",-15.0659705,145.7268363,-15.0661087,145.7281417,173.8,5.29,0,"a","1-","0","0",18/07/2022,"DATA_MIGRATION",,
104485,02/07/2022,"QPWS Reef Ranger","FMPCR22-04","15-021a","Ribbon No 8 Reef (15-021a)",-15.0662079,145.7282571,-15.0672329,145.7292794,170.3,5.18,0,"a","1-","0","0",18/07/2022,"DATA_MIGRATION",,
104458,02/07/2022,"QPWS Reef Ranger","FMPCR22-04","15-021a","Ribbon No 8 Reef (15-021a)",-15.0673692,145.7292958,-15.0688061,145.7294841,166.1,5,0,"a","1-","0","0",18/07/2022,"DATA_MIGRATION",,
104390,02/07/2022,"QPWS Reef Ranger","FMPCR22-04","15-021a","Ribbon No 8 Reef (15-021a)",-15.0690197,145.7293949,-15.0700713,145.7296576,155,4.72,0,"a","1-","1-","0",18/07/2022,"DATA_MIGRATION",,
104486,02/07/2022,"QPWS Reef Ranger","FMPCR22-04","15-021a","Ribbon No 8 Reef (15-021a)",-15.0702089,145.7296212,-15.071365,145.7299605,145,4.39,0,"a","1-","0","0",18/07/2022,"DATA_MIGRATION",,
104391,02/07/2022,"QPWS Reef Ranger","FMPCR22-04","15-021a","Ribbon No 8 Reef (15-021a)",-15.0715463,145.7298997,-15.0728236,145.7297309,149,4.5,0,"a","1-","0","0",18/07/2022,"DATA_MIGRATION",,
104487,02/07/2022,"QPWS Reef Ranger","FMPCR22-04","15-021a","Ribbon No 8 Reef (15-021a)",-15.0729619,145.7296611,-15.0742453,145.7299823,159.9,4.86,0,"a","1-","0","0",18/07/2022,"DATA_MIGRATION",,
104392,02/07/2022,"QPWS Reef Ranger","FMPCR22-04","15-021a","Ribbon No 8 Reef (15-021a)",-15.0743927,145.7299989,-15.0758183,145.7296863,172.1,5.22,0,"a","1-","0","0",18/07/2022,"DATA_MIGRATION",,
104488,02/07/2022,"QPWS Reef Ranger","FMPCR22-04","15-021a","Ribbon No 8 Reef (15-021a)",-15.0759233,145.7295901,-15.0771202,145.7286674,175.1,5.29,0,"a","1+","1+","0",18/07/2022,"DATA_MIGRATION",,
104459,02/07/2022,"QPWS Reef Ranger","FMPCR22-04","15-021a","Ribbon No 8 Reef (15-021a)",-15.0771969,145.7285543,-15.0785154,145.7277893,178.6,5.4,0,"a","1-","1+","0",18/07/2022,"DATA_MIGRATION",,
104516,02/07/2022,"QPWS Reef Ranger","FMPCR22-04","15-021a","Ribbon No 8 Reef (15-021a)",-15.0785921,145.7276355,-15.0790694,145.7258174,212.8,6.44,0,"a","1-","1+","0",18/07/2022,"DATA_MIGRATION",,
104393,02/07/2022,"QPWS Reef Ranger","FMPCR22-04","15-021a","Ribbon No 8 Reef (15-021a)",-15.0771451,145.7283513,-15.0785708,145.7283035,168.1,5.08,0,"a","1-","1-","1-",18/07/2022,"DATA_MIGRATION",,
